"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"162170524041093120","","","2012-01-25 13:50:40 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: CNN Student News - January 25, 2012 by CNN","","","",""
"162165490469453825","","","2012-01-25 13:30:40 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: DigitalP: 24 Jan 12: Iran’s ‘Halal’ Internet by BBC World Service","","","",""
"162152906013933568","","","2012-01-25 12:40:40 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: 2012年1月22日Part1「何のためのアーカイブ？」 by TBS RADIO 954kHz","","","",""
"162147883230048257","","","2012-01-25 12:20:42 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: ねこじょ#69：福島のブログ by 沖田 民行","","","",""
"161966665725263872","","","2012-01-25 00:20:36 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: ねこじょ#69：福島のブログ by 沖田 民行","","","",""
"161961632891813888","","","2012-01-25 00:00:37 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: BizDaily: Eurozone downgrades by BBC World Service","","","",""
"161818177880326145","","","2012-01-24 14:30:34 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: Build and Analyze 36: Jobs (Not The Steve Kind) by Dan Benjamin & Marco Arment","","","",""
"161808110925783040","","","2012-01-24 13:50:34 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: In The Balance: Executive Pay by BBC World Service","","","",""
"161787978191081472","","","2012-01-24 12:30:34 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: Build and Analyze 37: Happy in Three Places by Dan Benjamin & Marco Arment","","","",""
"161782944392953857","","","2012-01-24 12:10:34 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: BizDaily: Hungarian bailout by BBC World Service","","","",""
"161780432126476288","","","2012-01-24 12:00:35 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: CNN Student News - January 24, 2012 by CNN","","","",""
"161680870799974400","","","2012-01-24 05:24:58 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","I just unlocked the “Flame Broiled” badge on @foursquare! Cheeseburgers all around! http://t.co/j9hGIbjT","","","","http://4sq.com/yqrP4J"
"161644542716674049","161596925890666496","194088642","2012-01-24 03:00:36 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@cat_riverwalk 道路凍っててですよね？僕もペンギンみたいに歩いて会社行きました（笑）","","","",""
"161428084745191424","","","2012-01-23 12:40:29 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: Build and Analyze 38: Decaf Compatibility Stick by Dan Benjamin & Marco Arment","","","",""
"161423050330480640","","","2012-01-23 12:20:28 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: BizDaily: German Muscle by BBC World Service","","","",""
"161420542073774082","","","2012-01-23 12:10:30 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: BizDaily: For love or money by BBC World Service","","","",""
"161412983438843904","","","2012-01-23 11:40:28 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: 吉田照美さん_Tokyo Midtown presents The Lifestyle MUSEUM_vol.196 by ピーター・バラカン／山内トモコ","","","",""
"161239330076102656","","","2012-01-23 00:10:26 +0000","<a href=""http://www.c4.ca/ituwitter"" rel=""nofollow"">ituwitter</a>","#fuji_music ♬ iTunes Track: CNN Student News - January 23, 2012 by CNN","","","",""
"161119032991416321","","","2012-01-22 16:12:25 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","大学は象牙の塔じゃなくてアクロポリスであるべきだ。アゴラの動きに寄り添いつつ、そこでの問題を解決したり、活動を促進するための術をどんどん出す。そして高地であることの意味を勘違いしたら絶対ダメ。","","","",""
"160944767621009408","160943044852596736","194088642","2012-01-22 04:39:57 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@cat_riverwalk ですね。体づくりは意識的にやってかんといかんなぁと思って最近プール通ってます。","","","",""
"160914774299906049","160907911663591424","194088642","2012-01-22 02:40:46 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@cat_riverwalk @too_mee_too 何がそうさせてんでしょうねぇ。
お昼ご飯もカレー、ラーメン、ファーストフードからみそ汁のつく定食屋を好み始めてます。","","","",""
"160907095707877377","","","2012-01-22 02:10:15 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I liked a @YouTube video http://t.co/32C7w2BH 口ロロ (クチロロ) いつかどこかで・SPACE BALLON PROJECT","","","","http://youtu.be/yLlM7p3Gr4A?a"
"160906939734302720","160775149229064193","434098791","2012-01-22 02:09:38 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@too_mee_too 僕は最近、大根おろしと磯辺焼きになっちゃいました。なんか歳とったなって思います（笑）","","","",""
"160728505523511296","","","2012-01-21 14:20:36 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@Kazunori_Miya @yurikokimura 25日、僕も大丈夫です！","","","",""
"160721812236406784","160711972596359168","198833140","2012-01-21 13:54:00 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@canbe_w 　トレッキングもできるんですね！行くのが楽しみです。訪問の際は魅力を沢山、体感できたらと思いますのでよろしくお願いします！","","","",""
